Country/Region,ObservationDate,SNo,Deaths,date_sec
Argentina,3/20/2020,7122,3,1584662400
Argentina,3/21/2020,7420,4,1584748800
Argentina,3/22/2020,7624,4,1584835200
Argentina,3/23/2020,7922,4,1584921600
Argentina,3/24/2020,8216,6,1585008000
Argentina,3/25/2020,8514,8,1585094400
Argentina,3/26/2020,8816,9,1585180800
Argentina,3/27/2020,9122,13,1585267200
Argentina,3/28/2020,9429,18,1585353600
Argentina,3/29/2020,9740,19,1585440000
Argentina,3/3/2020,3192,0,1583193600
Argentina,3/30/2020,10051,23,1585526400
Argentina,3/31/2020,10363,27,1585612800
Argentina,3/4/2020,3351,0,1583280000
Argentina,3/5/2020,3522,0,1583366400
Argentina,3/6/2020,3685,0,1583452800
Argentina,3/7/2020,3860,0,1583539200
Argentina,3/8/2020,4082,1,1583625600
Argentina,3/9/2020,4343,1,1583712000
Argentina,4/1/2020,10676,28,1585699200
Argentina,4/10/2020,13534,82,1586476800
Argentina,4/11/2020,13855,83,1586563200
Argentina,4/12/2020,14176,90,1586649600
Argentina,4/13/2020,14496,97,1586736000
Argentina,4/14/2020,14816,102,1586822400
Argentina,4/15/2020,15136,111,1586908800
Argentina,4/16/2020,15456,115,1586995200
Argentina,4/17/2020,15776,123,1587081600
Argentina,4/18/2020,16096,129,1587168000
Argentina,4/19/2020,16416,132,1587254400
Argentina,4/2/2020,10989,36,1585785600
Argentina,4/20/2020,16736,136,1587340800
Argentina,4/21/2020,17056,147,1587427200
Argentina,4/22/2020,17376,152,1587513600
Argentina,4/23/2020,17695,165,1587600000
Argentina,4/3/2020,11304,39,1585872000
Argentina,4/4/2020,11619,43,1585958400
Argentina,4/5/2020,11935,44,1586044800
Argentina,4/6/2020,12254,48,1586131200
Argentina,4/7/2020,12574,56,1586217600
Argentina,4/8/2020,12894,63,1586304000
Argentina,4/9/2020,13214,72,1586390400
Armenia,3/1/2020,2913,0,1583020800
Armenia,3/10/2020,4681,0,1583798400
Armenia,3/11/2020,4899,0,1583884800
Armenia,3/12/2020,5096,0,1583971200
Armenia,3/13/2020,5249,0,1584057600
Armenia,3/14/2020,5518,0,1584144000
Armenia,3/15/2020,5764,0,1584230400
Armenia,3/16/2020,6001,0,1584316800
Armenia,3/17/2020,6255,0,1584403200
Armenia,3/18/2020,6545,0,1584489600
Armenia,3/19/2020,6827,0,1584576000
Armenia,3/2/2020,3044,0,1583107200
Armenia,3/20/2020,7117,0,1584662400
Armenia,3/21/2020,7419,0,1584748800
Armenia,3/22/2020,7625,0,1584835200
Armenia,3/23/2020,7923,0,1584921600
Armenia,3/24/2020,8217,0,1585008000
Armenia,3/25/2020,8515,0,1585094400
Armenia,3/26/2020,8817,1,1585180800
Armenia,3/27/2020,9123,1,1585267200
Armenia,3/28/2020,9430,1,1585353600
Armenia,3/29/2020,9741,3,1585440000
Armenia,3/3/2020,3193,0,1583193600
Armenia,3/30/2020,10052,3,1585526400
Armenia,3/31/2020,10364,3,1585612800
Armenia,3/4/2020,3352,0,1583280000
Armenia,3/5/2020,3523,0,1583366400
Armenia,3/6/2020,3708,0,1583452800
Armenia,3/7/2020,3922,0,1583539200
Armenia,3/8/2020,4169,0,1583625600
Armenia,3/9/2020,4434,0,1583712000
Armenia,4/1/2020,10677,4,1585699200
Armenia,4/10/2020,13535,12,1586476800
Armenia,4/11/2020,13856,13,1586563200
Armenia,4/12/2020,14177,13,1586649600
Armenia,4/13/2020,14497,14,1586736000
Armenia,4/14/2020,14817,16,1586822400
Armenia,4/15/2020,15137,17,1586908800
Armenia,4/16/2020,15457,18,1586995200
Armenia,4/17/2020,15777,19,1587081600
Armenia,4/18/2020,16097,20,1587168000
Armenia,4/19/2020,16417,20,1587254400
Armenia,4/2/2020,10990,7,1585785600
Armenia,4/20/2020,16737,22,1587340800
Armenia,4/21/2020,17057,24,1587427200
Armenia,4/22/2020,17377,24,1587513600
Armenia,4/23/2020,17696,24,1587600000
Armenia,4/3/2020,11305,7,1585872000
Armenia,4/4/2020,11620,7,1585958400
Armenia,4/5/2020,11936,7,1586044800
Armenia,4/6/2020,12255,8,1586131200
Armenia,4/7/2020,12575,8,1586217600
Armenia,4/8/2020,12895,9,1586304000
Armenia,4/9/2020,13215,10,1586390400
Aruba,3/13/2020,5280,0,1584057600
Aruba,3/14/2020,5579,0,1584144000
Aruba,3/15/2020,5835,0,1584230400
Aruba,3/16/2020,6112,0,1584316800
Aruba,3/17/2020,6383,0,1584403200
Aruba,3/18/2020,6660,0,1584489600
Aruba,3/19/2020,6951,0,1584576000
Australia,1/23/2020,81,0,1579737600
Australia,1/25/2020,167,0,1579910400
Australia,1/26/2020,213,0,1579996800
Australia,1/27/2020,533,0,1580083200
Australia,1/28/2020,635,0,1580169600
Australia,1/29/2020,739,0,1580256000
Australia,1/30/2020,1275,0,1580342400
Australia,1/31/2020,1428,0,1580428800
Australia,2/1/2020,2153,0,1580515200
Australia,2/10/2020,4682,0,1581292800
Australia,2/11/2020,4970,0,1581379200
Australia,2/12/2020,5262,0,1581465600
Australia,2/13/2020,5554,0,1581552000
Australia,2/14/2020,5850,0,1581638400
Australia,2/15/2020,6150,0,1581724800
Australia,2/16/2020,6450,0,1581811200
Australia,2/17/2020,6752,0,1581897600
Australia,2/18/2020,7052,0,1581984000
Australia,2/19/2020,7352,0,1582070400
Australia,2/2/2020,2420,0,1580601600
Australia,2/20/2020,7659,0,1582156800
Australia,2/21/2020,9971,0,1582243200
Australia,2/22/2020,10389,0,1582329600
Australia,2/23/2020,10809,0,1582416000
Australia,2/24/2020,11232,0,1582502400
Australia,2/25/2020,11696,0,1582588800
Australia,2/26/2020,12172,0,1582675200
Australia,2/27/2020,12691,0,1582761600
Australia,2/28/2020,13223,0,1582848000
Australia,2/29/2020,16637,0,1582934400
Australia,2/3/2020,2690,0,1580688000
Australia,2/4/2020,2959,0,1580774400
Australia,2/5/2020,3239,0,1580860800
Australia,2/6/2020,3523,0,1580947200
Australia,2/7/2020,3814,0,1581033600
Australia,2/8/2020,4103,0,1581120000
Australia,2/9/2020,4391,0,1581206400
Australia,3/1/2020,17376,1,1583020800
Australia,3/10/2020,37099,3,1583798400
Australia,3/11/2020,38785,3,1583884800
Australia,3/12/2020,40572,3,1583971200
Australia,3/13/2020,46937,3,1584057600
Australia,3/14/2020,49824,3,1584144000
Australia,3/15/2020,52083,3,1584230400
Australia,3/16/2020,54441,3,1584316800
Australia,3/17/2020,56944,5,1584403200
Australia,3/18/2020,59420,6,1584489600
Australia,3/19/2020,62023,6,1584576000
Australia,3/2/2020,21203,1,1583107200
Australia,3/20/2020,64667,7,1584662400
Australia,3/21/2020,67313,7,1584748800
Australia,3/22/2020,78645,7,1584835200
Australia,3/23/2020,65371,7,1584921600
Australia,3/24/2020,67748,8,1585008000
Australia,3/25/2020,70164,8,1585094400
Australia,3/26/2020,72601,13,1585180800
Australia,3/27/2020,75057,13,1585267200
Australia,3/28/2020,77538,14,1585353600
Australia,3/29/2020,80026,16,1585440000
Australia,3/3/2020,22207,1,1583193600
Australia,3/30/2020,82522,17,1585526400
Australia,3/31/2020,85026,18,1585612800
Australia,3/4/2020,26653,2,1583280000
Australia,3/5/2020,27981,2,1583366400
Australia,3/6/2020,29499,2,1583452800
Australia,3/7/2020,31172,2,1583539200
Australia,3/8/2020,33066,4,1583625600
Australia,3/9/2020,35129,4,1583712000
Australia,4/1/2020,87530,20,1585699200
Australia,4/10/2020,110452,54,1586476800
Australia,4/11/2020,113020,57,1586563200
Australia,4/12/2020,115581,60,1586649600
Australia,4/13/2020,118141,61,1586736000
Australia,4/14/2020,120701,62,1586822400
Australia,4/15/2020,123261,63,1586908800
Australia,4/16/2020,125821,63,1586995200
Australia,4/17/2020,128381,66,1587081600
Australia,4/18/2020,130941,67,1587168000
Australia,4/19/2020,133501,67,1587254400
Australia,4/2/2020,90049,24,1585785600
Australia,4/20/2020,136061,67,1587340800
Australia,4/21/2020,138621,67,1587427200
Australia,4/22/2020,141174,67,1587513600
Australia,4/23/2020,143733,75,1587600000
Australia,4/3/2020,92569,28,1585872000
Australia,4/4/2020,95096,30,1585958400
Australia,4/5/2020,97644,35,1586044800
Australia,4/6/2020,100204,40,1586131200
Australia,4/7/2020,102764,45,1586217600
Australia,4/8/2020,105324,50,1586304000
Australia,4/9/2020,107884,51,1586390400
Austria,2/25/2020,2345,0,1582588800
Austria,2/26/2020,2442,0,1582675200
Austria,2/27/2020,2541,0,1582761600
Austria,2/28/2020,2650,0,1582848000
Austria,2/29/2020,2756,0,1582934400
Austria,3/1/2020,2871,0,1583020800
Austria,3/10/2020,4548,0,1583798400
Austria,3/11/2020,4754,0,1583884800
Austria,3/12/2020,4968,1,1583971200
Austria,3/13/2020,5221,1,1584057600
Austria,3/14/2020,5407,1,1584144000
Austria,3/15/2020,5653,1,1584230400
Austria,3/16/2020,5907,3,1584316800
Austria,3/17/2020,6176,3,1584403200
Austria,3/18/2020,6450,4,1584489600
Austria,3/19/2020,6734,6,1584576000
Austria,3/2/2020,2994,0,1583107200
Austria,3/20/2020,7026,6,1584662400
Austria,3/21/2020,7326,8,1584748800
Austria,3/22/2020,7626,16,1584835200
Austria,3/23/2020,7924,21,1584921600
Austria,3/24/2020,8218,28,1585008000
Austria,3/25/2020,8516,30,1585094400
Austria,3/26/2020,8818,49,1585180800
Austria,3/27/2020,9124,58,1585267200
Austria,3/28/2020,9431,68,1585353600
Austria,3/29/2020,9742,86,1585440000
Austria,3/3/2020,3136,0,1583193600
Austria,3/30/2020,10053,108,1585526400
Austria,3/31/2020,10365,128,1585612800
Austria,3/4/2020,3288,0,1583280000
Austria,3/5/2020,3448,0,1583366400
Austria,3/6/2020,3618,0,1583452800
Austria,3/7/2020,3812,0,1583539200
Austria,3/8/2020,4034,0,1583625600
Austria,3/9/2020,4286,0,1583712000
Austria,4/1/2020,10678,146,1585699200
Austria,4/10/2020,13536,319,1586476800
Austria,4/11/2020,13857,337,1586563200
Austria,4/12/2020,14178,350,1586649600
Austria,4/13/2020,14498,368,1586736000
Austria,4/14/2020,14818,384,1586822400
Austria,4/15/2020,15138,393,1586908800
Austria,4/16/2020,15458,410,1586995200
Austria,4/17/2020,15778,431,1587081600
Austria,4/18/2020,16098,443,1587168000
Austria,4/19/2020,16418,452,1587254400
Austria,4/2/2020,10991,158,1585785600
Austria,4/20/2020,16738,470,1587340800
Austria,4/21/2020,17058,491,1587427200
Austria,4/22/2020,17378,510,1587513600
Austria,4/23/2020,17697,522,1587600000
Austria,4/3/2020,11306,168,1585872000
Austria,4/4/2020,11621,186,1585958400
Austria,4/5/2020,11937,204,1586044800
Austria,4/6/2020,12256,220,1586131200
