Country/Region,date_sec,log_Confirmed
Madagascar,1586390400,1.968482948553935
Madagascar,1586476800,1.968482948553935
Madagascar,1586563200,2.0086001717619175
Madagascar,1586649600,2.0253058652647704
Madagascar,1586736000,2.0253058652647704
Madagascar,1586822400,2.03342375548695
Madagascar,1586908800,2.041392685158225
Madagascar,1586995200,2.0453229787866576
Madagascar,1587081600,2.0681858617461617
Madagascar,1587168000,2.0791812460476247
Madagascar,1587254400,2.0827853703164503
Madagascar,1587340800,2.0827853703164503
Madagascar,1587427200,2.0827853703164503
Madagascar,1587513600,2.0827853703164503
Madagascar,1587600000,2.0827853703164503
Mainland China,1579651200,2.737987326333431
Mainland China,1579737600,2.8055008581584002
Mainland China,1579824000,2.9618954736678504
Mainland China,1579910400,3.1458177144918276
Mainland China,1579996800,3.3142886609474975
Mainland China,1580083200,3.456821348021599
Mainland China,1580169600,3.739888655084543
Mainland China,1580256000,3.7831886910752575
Mainland China,1580342400,3.9097699147327694
Mainland China,1580428800,3.9904720535256195
Mainland China,1580515200,4.0744873049856905
Mainland China,1580601600,4.220291185665156
Mainland China,1580688000,4.294311880902013
Mainland China,1580774400,4.3743816980508825
Mainland China,1580860800,4.437893190869514
Mainland China,1580947200,4.4850538600606855
Mainland China,1581033600,4.532435864506711
Mainland China,1581120000,4.565588108464309
Mainland China,1581206400,4.599773939146388
Mainland China,1581292800,4.626401965060686
Mainland China,1581379200,4.646668339746582
Mainland China,1581465600,4.650297807263036
Mainland China,1581552000,4.77693352021538
Mainland China,1581638400,4.821461121685522
Mainland China,1581724800,4.834719456547741
Mainland China,1581811200,4.847856338435495
Mainland China,1581897600,4.859522564958292
Mainland China,1581984000,4.870046723891942
Mainland China,1582070400,4.872424344978367
Mainland China,1582156800,4.875055472760003
Mainland China,1582243200,4.8777858589016265
Mainland China,1582329600,4.886050567527855
Mainland China,1582416000,4.886140892651156
Mainland China,1582502400,4.88734718869736
Mainland China,1582588800,4.890197386210029
Mainland China,1582675200,4.892456364045762
Mainland China,1582761600,4.894858591776733
Mainland China,1582848000,4.896658469781671
Mainland China,1582934400,4.899004750911769
Mainland China,1583020800,4.9021443677597025
Mainland China,1583107200,4.903231109767353
Mainland China,1583193600,4.903908945177658
Mainland China,1583280000,4.904558673363925
Mainland China,1583366400,4.905374869291181
Mainland China,1583452800,4.906189534168934
Mainland China,1583539200,4.9066151414484045
Mainland China,1583625600,4.906868153096634
Mainland China,1583712000,4.907061849611714
Mainland China,1583798400,4.907180177190305
Mainland China,1583884800,4.907330729314398
Mainland China,1583971200,4.9073737346227695
Mainland China,1584057600,4.907416735673032
Mainland China,1584144000,4.907556459689006
Mainland China,1584230400,4.907669280894155
Mainland China,1584316800,4.907771331974069
Mainland China,1584403200,4.907862620512867
Mainland China,1584489600,4.907980730144621
Mainland China,1584576000,4.90811490665721
Mainland China,1584662400,4.908361683180978
Mainland China,1584748800,4.9085600756362355
Mainland China,1584835200,4.908806599405675
Mainland China,1584921600,4.9091065265459815
Mainland China,1585008000,4.909449046981266
Mainland China,1585094400,4.909668332258282
Mainland China,1585180800,4.910079861711562
Mainland China,1585267200,4.9103308634911365
Mainland China,1585353600,4.910629740169475
Mainland China,1585440000,4.910859095239092
Mainland China,1585526400,4.911040360048007
