ObservationDate,SNo,Confirmed,Deaths,Recovered,log_Confirmed,log_Deaths,log_Recovered,date_sec
03/10/2020,4560,120.0,3.0,65.0,2.0791812460476247,0.47712125471966244,1.8129133566428555,1583798400
03/11/2020,4767,126.0,3.0,65.0,2.100370545117563,0.47712125471966244,1.8129133566428555,1583884800
03/12/2020,4983,129.0,3.0,67.0,2.110589710299249,0.47712125471966244,1.8260748027008264,1583971200
03/13/2020,5176,134.0,4.0,77.0,2.1271047983648077,0.6020599913279624,1.8864907251724818,1584057600
03/14/2020,5436,140.0,4.0,78.0,2.146128035678238,0.6020599913279624,1.8920946026904804,1584144000
03/15/2020,5685,145.0,4.0,81.0,2.161368002234975,0.6020599913279624,1.9084850188786497,1584230400
03/16/2020,5952,155.0,4.0,84.0,2.1903316981702914,0.6020599913279624,1.9242792860618816,1584316800
03/17/2020,6231,162.0,4.0,88.0,2.2095150145426308,0.6020599913279624,1.9444826721501687,1584403200
03/18/2020,6508,181.0,4.0,92.0,2.2576785748691846,0.6020599913279624,1.9637878273455553,1584489600
03/19/2020,6797,208.0,4.0,95.0,2.3180633349627615,0.6020599913279624,1.9777236052888478,1584576000
03/20/2020,7088,256.0,4.0,98.0,2.4082399653118496,0.6020599913279624,1.9912260756924949,1584662400
03/21/2020,7393,273.0,4.0,98.0,2.436162647040756,0.6020599913279624,1.9912260756924949,1584748800
03/22/2020,7826,317.0,4.0,100.0,2.5010592622177517,0.6020599913279624,2.0,1584835200
03/23/2020,8123,356.0,4.0,100.0,2.5514499979728753,0.6020599913279624,2.0,1584921600
03/24/2020,8419,386.0,4.0,101.0,2.586587304671755,0.6020599913279624,2.0043213737826426,1585008000
03/25/2020,8721,410.0,4.0,102.0,2.6127838567197355,0.6020599913279624,2.0086001717619175,1585094400
03/26/2020,9025,453.0,4.0,110.0,2.656098202012832,0.6020599913279624,2.041392685158225,1585180800
03/27/2020,9332,519.0,4.0,110.0,2.7151673578484576,0.6020599913279624,2.041392685158225,1585267200
03/28/2020,9642,561.0,4.0,112.0,2.7489628612561616,0.6020599913279624,2.0492180226701815,1585353600
03/29/2020,9953,641.0,4.0,112.0,2.8068580295188172,0.6020599913279624,2.0492180226701815,1585440000
03/30/2020,10265,682.0,4.0,123.0,2.833784374656479,0.6020599913279624,2.089905111439398,1585526400
03/31/2020,10578,714.0,4.0,128.0,2.8536982117761744,0.6020599913279624,2.1072099696478683,1585612800
04/01/2020,10891,765.0,4.0,147.0,2.8836614351536176,0.6020599913279624,2.167317334748176,1585699200
04/02/2020,11206,802.0,4.0,147.0,2.9041743682841634,0.6020599913279624,2.167317334748176,1585785600
04/03/2020,11521,845.0,4.0,173.0,2.926856708949692,0.6020599913279624,2.2380461031287955,1585872000
04/04/2020,11837,862.0,4.0,173.0,2.9355072658247128,0.6020599913279624,2.2380461031287955,1585958400
04/05/2020,12155,890.0,4.0,206.0,2.949390006644913,0.6020599913279624,2.3138672203691533,1586044800
04/06/2020,12475,914.0,4.0,216.0,2.960946195733831,0.6020599913279624,2.3344537511509307,1586131200
04/07/2020,12795,935.0,4.0,216.0,2.9708116108725178,0.6020599913279624,2.3344537511509307,1586217600
04/08/2020,13115,960.0,4.0,264.0,2.9822712330395684,0.6020599913279624,2.4216039268698313,1586304000
04/09/2020,13435,973.0,4.0,293.0,2.988112840268352,0.6020599913279624,2.4668676203541096,1586390400
04/10/2020,13756,989.0,4.0,309.0,2.9951962915971793,0.6020599913279624,2.4899584794248346,1586476800
04/11/2020,14077,1000.0,4.0,336.0,3.0,0.6020599913279624,2.526339277389844,1586563200
04/12/2020,14397,1004.0,4.0,360.0,3.0017337128090005,0.6020599913279624,2.5563025007672873,1586649600
04/13/2020,14717,1009.0,4.0,360.0,3.0038911662369103,0.6020599913279624,2.5563025007672873,1586736000
04/14/2020,15037,1012.0,4.0,434.0,3.0051805125037805,0.6020599913279624,2.637489729512511,1586822400
04/15/2020,15357,1017.0,4.0,459.0,3.0073209529227447,0.6020599913279624,2.661812685537261,1586908800
04/16/2020,15677,1017.0,4.0,485.0,3.0073209529227447,0.6020599913279624,2.6857417386022635,1586995200
04/17/2020,15997,1021.0,4.0,533.0,3.0090257420869104,0.6020599913279624,2.7267272090265724,1587081600
04/18/2020,16317,1024.0,4.0,568.0,3.010299956639812,0.6020599913279624,2.754348335711019,1587168000
04/19/2020,16637,1025.0,4.0,602.0,3.010723865391773,0.6020599913279624,2.7795964912578244,1587254400
04/20/2020,16957,1025.0,4.0,630.0,3.010723865391773,0.6020599913279624,2.7993405494535817,1587340800
04/21/2020,17277,1029.0,4.0,650.0,3.012415374762433,0.6020599913279624,2.8129133566428557,1587427200
04/22/2020,17596,1033.0,4.0,678.0,3.0141003215196207,0.6020599913279624,2.8312296938670634,1587513600
04/23/2020,17916,1035.0,4.0,699.0,3.0149403497929366,0.6020599913279624,2.8444771757456815,1587600000
04/24/2020,18236,1035.0,4.0,725.0,3.0149403497929366,0.6020599913279624,2.8603380065709936,1587686400
04/25/2020,18555,1037.0,4.0,753.0,3.015778756389041,0.6020599913279624,2.8767949762007006,1587772800
04/26/2020,18874,1037.0,4.0,772.0,3.015778756389041,0.6020599913279624,2.887617300335736,1587859200
04/27/2020,19194,1037.0,4.0,787.0,3.015778756389041,0.6020599913279624,2.8959747323590648,1587945600
04/28/2020,19515,1037.0,4.0,811.0,3.015778756389041,0.6020599913279624,2.909020854211156,1588032000
04/29/2020,19836,1037.0,4.0,830.0,3.015778756389041,0.6020599913279624,2.9190780923760737,1588118400
04/30/2020,20159,1037.0,4.0,846.0,3.015778756389041,0.6020599913279624,2.9273703630390235,1588204800
05/01/2020,20482,1039.0,4.0,859.0,3.016615547557177,0.6020599913279624,2.9339931638312424,1588291200
05/02/2020,20805,1039.0,4.0,864.0,3.016615547557177,0.6020599913279624,2.936513742478893,1588377600
05/03/2020,21128,1039.0,4.0,879.0,3.016615547557177,0.6020599913279624,2.9439888750737717,1588464000
05/04/2020,21451,1040.0,4.0,900.0,3.0170333392987803,0.6020599913279624,2.9542425094393248,1588550400
05/05/2020,21774,1040.0,4.0,920.0,3.0170333392987803,0.6020599913279624,2.963787827345555,1588636800
05/06/2020,22097,1040.0,4.0,932.0,3.0170333392987803,0.6020599913279624,2.9694159123539814,1588723200
05/07/2020,22420,1044.0,4.0,944.0,3.0187004986662433,0.6020599913279624,2.974971994298069,1588809600
05/08/2020,22743,1044.0,4.0,960.0,3.0187004986662433,0.6020599913279624,2.9822712330395684,1588896000
