date_sec,log_Confirmed,log_Deaths,log_Recovered
1586908800,2.693726948923647,1.3979400086720377,2.399673721481038
1586995200,2.714329759745233,1.414973347970818,2.4424797690644486
1587081600,2.7315887651867388,1.414973347970818,2.45178643552429
1587168000,2.738780558484369,1.414973347970818,2.4800069429571505
1587254400,2.749736315569061,1.414973347970818,2.496929648073215
1587340800,2.7664128471123997,1.414973347970818,2.514547752660286
1587427200,2.784617292632875,1.414973347970818,2.537819095073274
1587513600,2.802089257881733,1.4313637641589874,2.5514499979728753
1587600000,2.821513528404773,1.4313637641589874,2.5854607295085006
1587686400,2.8312296938670634,1.4313637641589874,2.595496221825574
1587772800,2.8524799936368566,1.4313637641589874,2.6053050461411096
1587859200,2.8609366207000937,1.4471580313422192,2.6127838567197355
1587945600,2.866877814337499,1.4471580313422192,2.625312450961674
